mean_test_score,n_estimators,min_samples_split,max_depth,bootstrap
0.7720231254787888,255,2,20,False
0.7719917878244219,150,2,20,False
0.7719332232525978,230,2,20,False
0.7717684674027003,350,2,25,False
0.7716202576936833,300,2,25,False
0.7715994205543811,140,2,20,False
0.771431451942216,270,2,20,False
0.7713843832137448,325,2,25,False
0.7713732261197187,255,2,25,False
0.7710498791938982,230,2,25,False
0.7710308734227874,270,2,25,False
0.7709094011073433,300,2,20,False
0.7709086758160589,350,2,20,False
0.7707823454267541,350,6,20,False
0.7705840696842494,160,2,20,False
0.7705427336097529,325,2,20,False
0.7704167828388723,150,2,25,False
0.7703962894772136,350,6,30,False
0.7703573091952318,350,6,35,False
0.7703571792334634,350,6,50,False
0.7703571792334634,350,6,45,False
0.7703571792334634,350,6,55,False
0.7703571792334634,350,6,40,False
0.7703571792334634,350,6,60,False
0.7703453913579908,350,6,25,False
0.7703211217043237,350,2,30,False
0.7702886123494083,270,2,30,False
0.7702859449967215,150,2,30,False
0.7702804572764291,230,2,30,False
0.7702345800724353,140,2,25,False
0.7701992788889267,170,2,20,False
0.7701585649251095,300,2,30,False
0.7701578309682386,255,6,30,False
0.7701515611714234,200,2,20,False
0.7701508572749164,325,6,20,False
0.7701222004955005,255,6,35,False
0.7701179257196091,160,2,25,False
0.7700941277289851,255,6,60,False
0.7700941277289851,255,6,50,False
0.7700941277289851,255,6,55,False
0.7700941277289851,255,6,40,False
0.7700941277289851,255,6,45,False
0.7700765671379697,180,2,20,False
0.7700261185820277,140,2,30,False
0.7700184754216808,255,2,30,False
0.7700000911455875,325,2,30,False
0.7699392837754517,325,6,30,False
0.7699201410196375,325,6,35,False
0.769919728468224,325,6,55,False
0.769919728468224,325,6,60,False
0.769919728468224,325,6,40,False
0.769919728468224,325,6,50,False
0.769919728468224,325,6,45,False
0.7699169783328866,300,6,35,False
0.7699163769791428,160,2,30,False
0.7699158429081294,270,6,30,False
0.7698982599301808,270,6,35,False
0.769896010274876,300,6,30,False
0.769891128362022,300,6,55,False
0.769891128362022,300,6,50,False
0.769891128362022,300,6,45,False
0.769891128362022,300,6,60,False
0.769891128362022,300,6,40,False
0.7698714456252701,270,6,45,False
0.7698714456252701,270,6,55,False
0.7698714456252701,270,6,60,False
0.7698714456252701,270,6,50,False
0.7698714456252701,270,6,40,False
0.7698683101942945,325,6,25,False
0.7697894853201349,255,6,20,False
0.7697778948185275,300,6,25,False
0.7697047457997253,200,2,25,False
0.7696662225229017,300,6,20,False
0.769559843394643,270,6,20,False
0.7694417962520131,270,6,25,False
0.7693457986104241,230,6,30,False
0.769330988214785,200,2,30,False
0.7692793927554282,150,6,30,False
0.7692663274790584,230,6,35,False
0.7692366972370817,230,6,40,False
0.7692366972370817,230,6,45,False
