Feature,Importance
dvbm_s,0.6675638798727055
antarctic_temp_threshold,0.07616083643356643
climate_sensitivity,0.0713659974856897
rf_scale_aerosol,0.03934445807063481
movefactor_s,0.028616682452655237
antarctic_lambda,0.026935418968481895
wvpdl_s,0.0033712925577402304
greenland_beta,0.003329128901772561
thermal_alpha,0.0031867015770799174
temperature_0,0.002572136639223116
greenland_b,0.0024284476833415737
rho_greenland,0.0023365612510315385
antarctic_mu,0.0022934278018887774
antarctic_precip0,0.0020180410389360453
ocean_heat_0,0.0019827989521194887
greenland_alpha,0.001857466309621369
anto_alpha,0.001776191963943701
sd_greenland,0.0017719673272191794
thermal_s0,0.0017297378890519456
rho_antarctic,0.0017230304348265458
heat_diffusivity,0.0017130062975057945
rho_gmsl,0.0017046283765454174
greenland_a,0.001703912096332707
sd_antarctic,0.0016924853341327274
antarctic_runoff_height0,0.0016713860885227874
glaciers_n,0.0016546343709981457
CO2_diffusivity,0.001630825770220873
CO2_0,0.0016229301561689103
wvel_s,0.0016218643243330528
antarctic_c,0.0016132765086816917
vslmult_s,0.0015972101234064384
rho_ocean_heat,0.001579757078323878
sd_ocean_heat,0.0015783858229987948
N2O_0,0.0015741420786246772
Q10,0.001570659547086763
antarctic_slope,0.0015597076056341325
CO2_fertilization,0.001557806015086269
antarctic_kappa,0.001552956086774118
glaciers_v0,0.0015460640865015828
sd_glaciers,0.0015405232683706484
antarctic_flow0,0.001538357042089462
rho_glaciers,0.001538135836120583
glaciers_beta0,0.0015333751422793584
antarctic_alpha,0.001530653201281342
anto_beta,0.001520320213926748
greenland_v0,0.0015196248256997714
antarctic_nu,0.001518828448000991
rho_temperature,0.0015170237231126613
vslel_s,0.0015012543089324797
sigma_whitenoise_co2,0.0014998200505742995
alpha0_CO2,0.0014859890016508852
sd_gmsl,0.001465131842325219
antarctic_s0,0.0014532038061966608
glaciers_s0,0.0014514475012917744
antarctic_gamma,0.0014458245912829153
antarctic_bed_height0,0.0014172893568361311
sd_temp,0.0014133564606197315
