Feature,Importance
movefactor_s,0.3924563677667022
antarctic_lambda,0.15329091240904144
climate_sensitivity,0.1218265992026329
antarctic_temp_threshold,0.11487867530696719
rf_scale_aerosol,0.046843223160099465
dvbm_s,0.02386426966690504
vslmult_s,0.011702911023396581
antarctic_mu,0.01049593750189404
greenland_beta,0.00478729070040743
temperature_0,0.0045688525978237445
greenland_b,0.00363150911857895
rho_greenland,0.0035857098736922395
ocean_heat_0,0.003044709643732711
greenland_alpha,0.0029690387907365693
antarctic_runoff_height0,0.002943052927525769
greenland_a,0.0027777529606344436
antarctic_precip0,0.002746516408951256
thermal_alpha,0.0027284603201473802
antarctic_flow0,0.0026991551002344817
Q10,0.002636975912335305
rho_gmsl,0.002610083730124051
anto_alpha,0.0026044349552654653
sd_antarctic,0.0026004330068923323
heat_diffusivity,0.0025762936110551504
anto_beta,0.002522642977340645
rho_antarctic,0.0024936419741052912
wvpdl_s,0.0024622705301393004
sd_greenland,0.002456085563990429
rho_ocean_heat,0.0024196072988299953
wvel_s,0.00240338251492399
antarctic_s0,0.002389246899650856
antarctic_alpha,0.0023810925703106364
CO2_0,0.0023728426541094823
rho_glaciers,0.002367951814736999
glaciers_n,0.002335376690656719
sd_glaciers,0.0023352258142662623
CO2_diffusivity,0.0023026084179242467
glaciers_v0,0.0023001852699220914
antarctic_kappa,0.0022890133227262406
thermal_s0,0.002284375067628126
rho_temperature,0.002273108422208374
sd_gmsl,0.0022697059144143926
greenland_v0,0.002247093133948759
antarctic_c,0.002242771700915673
alpha0_CO2,0.00223696661151997
glaciers_s0,0.0021961353924455727
sigma_whitenoise_co2,0.00218744962590823
antarctic_nu,0.0021860570250352585
sd_temp,0.002177675657068047
glaciers_beta0,0.002172260293244693
antarctic_gamma,0.002164979549337238
sd_ocean_heat,0.0021576833255876364
vslel_s,0.002149815936151428
antarctic_bed_height0,0.0021320307920711587
N2O_0,0.0021068995598508195
CO2_fertilization,0.0020587321766741633
antarctic_slope,0.002055919806581166
