Feature,Importance
dvbm_s,0.46753047867291847
antarctic_temp_threshold,0.11262758189934376
antarctic_lambda,0.10215816690911819
rf_scale_aerosol,0.06886281491812757
climate_sensitivity,0.06659959724400555
movefactor_s,0.036316450774623595
wvpdl_s,0.0069530231371638
antarctic_mu,0.0068847489076884665
greenland_beta,0.0067228511057719
greenland_b,0.0044900331656071305
rho_greenland,0.0037409173723506185
greenland_alpha,0.003737266778512538
thermal_alpha,0.0033806964390142935
temperature_0,0.0033743623248527984
ocean_heat_0,0.0032816660691620887
antarctic_precip0,0.0031985524034190372
greenland_a,0.0031551616223906907
rho_gmsl,0.0029647002098963497
sd_greenland,0.0028781125939404775
anto_alpha,0.0028524261558299058
antarctic_flow0,0.0027772654708273386
antarctic_runoff_height0,0.002755076768170667
rho_antarctic,0.0027349957426729588
sd_antarctic,0.0026123625042935345
heat_diffusivity,0.002609941126453638
sd_ocean_heat,0.0025528164466587636
sd_gmsl,0.0025342368105535544
vslel_s,0.0025201832274965854
sigma_whitenoise_co2,0.002492232684224003
antarctic_slope,0.002468480337647454
rho_ocean_heat,0.002463998467723424
sd_glaciers,0.0024316531034762924
rho_glaciers,0.0024180705426842366
Q10,0.0024111707424826073
thermal_s0,0.0024032909398425317
rho_temperature,0.0024011384841329244
glaciers_n,0.0023842994506767918
wvel_s,0.002374136315111035
CO2_0,0.002347359198128335
sd_temp,0.0023424862395980918
glaciers_v0,0.0023349242298582678
antarctic_alpha,0.002333526486392083
antarctic_c,0.00232882094634537
antarctic_bed_height0,0.0023159375420253587
glaciers_beta0,0.0023112232475780243
glaciers_s0,0.002287913332876037
antarctic_kappa,0.0022629017228570835
anto_beta,0.0022562290222913153
alpha0_CO2,0.002250885322106831
antarctic_s0,0.002241929139479208
vslmult_s,0.0022402513731920584
antarctic_nu,0.002220112226185
greenland_v0,0.0022193766928113082
CO2_diffusivity,0.0022060090280804846
N2O_0,0.002161390369650187
antarctic_gamma,0.0021498890777651796
CO2_fertilization,0.002133876933914167
