Feature,Importance
antarctic_temp_threshold,0.3166827890738937
climate_sensitivity,0.23245135622526664
movefactor_s,0.15009070867463958
antarctic_lambda,0.08184728713789262
rf_scale_aerosol,0.05937003862721741
dvbm_s,0.008906265653177824
vslmult_s,0.008105245236033197
antarctic_mu,0.005991995872349264
heat_diffusivity,0.005321018276747623
Q10,0.0052759378692352815
temperature_0,0.004743743878861965
greenland_beta,0.004667150886970146
antarctic_precip0,0.0036533966237601253
ocean_heat_0,0.0034935292217059244
thermal_alpha,0.003381411952002582
rho_gmsl,0.0033562298094177508
greenland_b,0.003206743037507179
greenland_alpha,0.0030950045152128547
CO2_fertilization,0.0029212167915533232
rho_greenland,0.0028879424181373374
CO2_diffusivity,0.0028198190871619624
sd_ocean_heat,0.002774451487152238
antarctic_runoff_height0,0.0027412682025003653
anto_beta,0.0027360085056324195
antarctic_c,0.0027176203559921954
anto_alpha,0.00270615367246843
greenland_a,0.0026239925838498442
rho_antarctic,0.0025842706221902447
vslel_s,0.0025561799969045927
N2O_0,0.0025135359420903566
antarctic_nu,0.0025130794331229326
antarctic_slope,0.00251274686512757
greenland_v0,0.0025053319569590237
sd_greenland,0.0024876996722310606
glaciers_n,0.002483654288828583
glaciers_v0,0.002479869322144777
antarctic_flow0,0.0024490489107038267
sigma_whitenoise_co2,0.0024223122426539597
antarctic_kappa,0.0024138314719634856
antarctic_alpha,0.0023941194116642995
antarctic_s0,0.0023880859861460176
sd_antarctic,0.0023872436119278346
CO2_0,0.0023850710742444607
sd_gmsl,0.0023773516722833624
rho_temperature,0.002369204078913524
alpha0_CO2,0.0023413455001579453
rho_ocean_heat,0.0023278439637693027
sd_temp,0.00231075722081934
wvel_s,0.002296428909788152
rho_glaciers,0.002288181029140011
antarctic_bed_height0,0.002277509887563317
sd_glaciers,0.0022772909520594373
thermal_s0,0.0022578334178525693
glaciers_s0,0.002224818111103076
antarctic_gamma,0.002216077107074974
glaciers_beta0,0.0022132096729141322
wvpdl_s,0.002177741991318103
