Feature,Importance
antarctic_temp_threshold,0.2814527444411391
dvbm_s,0.2758161637857429
climate_sensitivity,0.20162780724145543
rf_scale_aerosol,0.06430835175248219
antarctic_lambda,0.028913270501438493
movefactor_s,0.007114594957858814
heat_diffusivity,0.005789839756487793
greenland_beta,0.005226955953259495
temperature_0,0.005011701882832489
antarctic_precip0,0.004718206112734698
wvpdl_s,0.004326630048745759
rho_gmsl,0.004119936961656069
greenland_b,0.003989561193072899
ocean_heat_0,0.0036405022769931002
antarctic_mu,0.0035344725666805747
Q10,0.0032817594640327827
sd_antarctic,0.0032674327372708427
rho_greenland,0.003221120212031779
anto_alpha,0.0031648079897944235
greenland_alpha,0.0031347821019565405
thermal_alpha,0.003128118568976156
greenland_a,0.002822293669633152
antarctic_runoff_height0,0.0027213505639131622
sd_ocean_heat,0.0025819676158999674
antarctic_flow0,0.002540030671405602
sd_gmsl,0.002498095801202358
antarctic_slope,0.0024553017988402787
CO2_diffusivity,0.0024317524392206314
antarctic_c,0.0023397412582923808
sd_glaciers,0.002330042815805458
antarctic_s0,0.0022782350074480543
CO2_fertilization,0.0022755177823699686
antarctic_gamma,0.0022719451801758543
sigma_whitenoise_co2,0.0022700072641601526
rho_glaciers,0.002269499515947771
glaciers_n,0.0022514307273295065
glaciers_v0,0.002214820959686155
glaciers_beta0,0.0022039716491658833
anto_beta,0.002200963886185452
antarctic_kappa,0.0021915617959847758
rho_antarctic,0.002189027068324853
sd_greenland,0.002179725548855696
antarctic_alpha,0.002175770935397181
glaciers_s0,0.002164142902334689
antarctic_bed_height0,0.0021542043006851463
rho_temperature,0.0021501394148935177
CO2_0,0.002148171833250959
sd_temp,0.0021405966568348086
N2O_0,0.0021375642698266716
wvel_s,0.0021260611642846244
alpha0_CO2,0.0021092017742961144
vslmult_s,0.0020878707359592813
thermal_s0,0.00208288983333973
rho_ocean_heat,0.002069952991510111
vslel_s,0.0020543024312519426
greenland_v0,0.0020530405383534763
antarctic_nu,0.0020400466912922667
